"","V1","V2"
"801","193-154-897-835-230","4"
"802","114-798-386-232-524","2"
"803","176-741-497-170-524","1"
"804","109-540-421-147-650","1"
"805","147-078-669-141-309","1"
"806","161-300-804-429-199","4"
"807","168-748-487-089-679","2"
"808","177-948-931-910-607","4"
"809","184-052-512-428-666","3"
"810","126-952-687-817-313","1"
"811","130-240-863-118-482","2"
"812","151-592-750-548-68X","2"
"813","151-452-685-417-266","2"
"814","110-617-981-290-509","2"
"815","166-977-968-948-119","3"
"816","166-297-752-075-110","2"
"817","109-635-255-168-553","1"
"818","175-269-408-344-172","1"
